RequestMessages,SuccessfulResponseMessages,RequestResponseRatio,RegistrationRate,PDURequestRate,RequestIAT,ProcedureCodeNumber,ProcedureCodeRate
0,0,0,0.000,0.000,0,0,0.000
0,0,0,0.000,0.000,0,0,0.000
0,0,0,0.000,0.000,0,0,0.000
0,0,0,0.000,0.000,0,0,0.000
0,0,0,0.000,0.000,0,0,0.000
0,0,0,0.000,0.000,0,0,0.000
0,0,0,0.000,0.000,0,0,0.000
1161,0,0.000,1161.000,0.000,0.000,1161,1161.000
1094,0,0.000,1094.000,0.000,0.000,1094,1094.000
1696,0,0.000,1696.000,0.000,0.000,1696,1696.000
322,0,0.000,322.000,0.000,0.000,322,322.000
949,0,0.000,949.000,0.000,0.000,949,949.000
1118,0,0.000,1118.000,0.000,0.000,1118,1118.000
1484,0,0.000,1484.000,0.000,0.000,1484,1484.000
1363,0,0.000,1363.000,0.000,0.000,1363,1363.000
1385,0,0.000,1385.000,0.000,0.000,1385,1385.000
1362,0,0.000,1362.000,0.000,0.000,1362,1362.000
1759,0,0.000,1759.000,0.000,0.000,1759,1759.000
1420,0,0.000,1420.000,0.000,0.000,1420,1420.000
1494,0,0.000,1494.000,0.000,0.000,1494,1494.000
1249,0,0.000,1249.000,0.000,0.000,1320,1320.000
41,0,0.000,41.000,0.000,0.000,1378,1378.000
0,0,0,0.000,0.000,0,1193,1193.000
0,0,0,0.000,0.000,0,1410,1410.000
726,0,0.000,726.000,0.000,0.000,1229,1229.000
1310,0,0.000,1310.000,0.000,0.000,1310,1310.000
1395,0,0.000,1395.000,0.000,0.000,1395,1395.000
1169,0,0.000,1169.000,0.000,0.000,1169,1169.000
1398,0,0.000,1398.000,0.000,0.000,1398,1398.000
1349,0,0.000,1349.000,0.000,0.000,1349,1349.000
1219,0,0.000,1219.000,0.000,0.000,1219,1219.000
1357,0,0.000,1357.000,0.000,0.000,1357,1357.000
979,0,0.000,979.000,0.000,0.000,979,979.000
1223,0,0.000,1223.000,0.000,0.000,1223,1223.000
1419,0,0.000,1419.000,0.000,0.000,1419,1419.000
830,0,0.000,830.000,0.000,0.000,830,830.000
1332,0,0.000,1332.000,0.000,0.000,1332,1332.000
1785,0,0.000,1785.000,0.000,0.000,1785,1785.000
963,0,0.000,963.000,0.000,0.000,963,963.000
1635,0,0.000,1635.000,0.000,0.000,1635,1635.000
1095,0,0.000,1095.000,0.000,0.000,1095,1095.000
1197,0,0.000,1197.000,0.000,0.000,1197,1197.000
1386,0,0.000,1386.000,0.000,0.000,1386,1386.000
1107,0,0.000,1107.000,0.000,0.000,1107,1107.000
915,0,0.000,915.000,0.000,0.000,915,915.000
1821,0,0.000,1821.000,0.000,0.000,1821,1821.000
1223,0,0.000,1223.000,0.000,0.000,1223,1223.000
1074,0,0.000,1074.000,0.000,0.000,1074,1074.000
1589,0,0.000,1589.000,0.000,0.000,1589,1589.000
1198,0,0.000,1198.000,0.000,0.000,1198,1198.000
97,0,0.000,97.000,0.000,0.000,97,97.000
813,0,0.000,813.000,0.000,0.000,813,813.000
1712,0,0.000,1712.000,0.000,0.000,1712,1712.000
1044,0,0.000,1044.000,0.000,0.000,1044,1044.000
1158,0,0.000,1158.000,0.000,0.000,1158,1158.000
1375,0,0.000,1375.000,0.000,0.000,1375,1375.000
1327,0,0.000,1327.000,0.000,0.000,1327,1327.000
1889,0,0.000,1889.000,0.000,0.000,1889,1889.000
1367,0,0.000,1367.000,0.000,0.000,1367,1367.000
1224,0,0.000,1224.000,0.000,0.000,1224,1224.000
848,0,0.000,848.000,0.000,0.000,848,848.000
1631,0,0.000,1631.000,0.000,0.000,1631,1631.000
1347,0,0.000,1347.000,0.000,0.000,1347,1347.000
372,0,0.000,372.000,0.000,0.000,1521,1521.000
0,0,0,0.000,0.000,0,1546,1546.000
0,0,0,0.000,0.000,0,1663,1663.000
0,0,0,0.000,0.000,0,1662,1662.000
0,0,0,0.000,0.000,0,1691,1691.000
0,0,0,0.000,0.000,0,893,893.000
0,0,0,0.000,0.000,0,1651,1651.000
0,0,0,0.000,0.000,0,1402,1402.000
0,0,0,0.000,0.000,0,1438,1438.000
649,0,0.000,649.000,0.000,0.000,1059,1059.000
984,0,0.000,984.000,0.000,0.000,984,984.000
766,0,0.000,766.000,0.000,0.000,766,766.000
1780,0,0.000,1780.000,0.000,0.000,1780,1780.000
1217,0,0.000,1217.000,0.000,0.000,1217,1217.000
1059,0,0.000,1059.000,0.000,0.000,1059,1059.000
1160,0,0.000,1160.000,0.000,0.000,1160,1160.000
1154,0,0.000,1154.000,0.000,0.000,1154,1154.000
435,0,0.000,435.000,0.000,0.000,1266,1266.000
0,0,0,0.000,0.000,0,1286,1286.000
0,0,0,0.000,0.000,0,1284,1284.000
0,0,0,0.000,0.000,0,1293,1293.000
0,0,0,0.000,0.000,0,2582,2582.000
0,0,0,0.000,0.000,0,2215,2215.000
0,0,0,0.000,0.000,0,1338,1338.000
0,0,0,0.000,0.000,0,7000,7000.000
0,0,0,0.000,0.000,0,1772,1772.000
0,0,0,0.000,0.000,0,1365,1365.000
0,0,0,0.000,0.000,0,1957,1957.000
0,0,0,0.000,0.000,0,892,892.000
0,0,0,0.000,0.000,0,1544,1544.000
0,0,0,0.000,0.000,0,1390,1390.000
0,0,0,0.000,0.000,0,1448,1448.000
0,0,0,0.000,0.000,0,1092,1092.000
0,0,0,0.000,0.000,0,1006,1006.000
0,0,0,0.000,0.000,0,1813,1813.000
0,0,0,0.000,0.000,0,1325,1325.000
0,0,0,0.000,0.000,0,1484,1484.000
0,0,0,0.000,0.000,0,1381,1381.000
0,0,0,0.000,0.000,0,1171,1171.000
0,0,0,0.000,0.000,0,2016,2016.000
0,0,0,0.000,0.000,0,1546,1546.000
0,0,0,0.000,0.000,0,831,831.000
0,0,0,0.000,0.000,0,699,699.000
0,0,0,0.000,0.000,0,964,964.000
0,0,0,0.000,0.000,0,4,4.000
0,0,0,0.000,0.000,0,1646,1646.000
0,0,0,0.000,0.000,0,1661,1661.000
0,0,0,0.000,0.000,0,2149,2149.000
0,0,0,0.000,0.000,0,1602,1602.000
0,0,0,0.000,0.000,0,1392,1392.000
0,0,0,0.000,0.000,0,1716,1716.000
0,0,0,0.000,0.000,0,1469,1469.000
0,0,0,0.000,0.000,0,1995,1995.000
0,0,0,0.000,0.000,0,1915,1915.000
0,0,0,0.000,0.000,0,1709,1709.000
0,0,0,0.000,0.000,0,1462,1462.000
0,0,0,0.000,0.000,0,1530,1530.000
0,0,0,0.000,0.000,0,1428,1428.000
0,0,0,0.000,0.000,0,1507,1507.000
0,0,0,0.000,0.000,0,925,925.000
0,0,0,0.000,0.000,0,1412,1412.000
0,0,0,0.000,0.000,0,1544,1544.000
0,0,0,0.000,0.000,0,1946,1946.000
0,0,0,0.000,0.000,0,1281,1281.000
819,0,0.000,819.000,0.000,0.000,2297,2297.000
2010,0,0.000,2010.000,0.000,0.000,2010,2010.000
1329,0,0.000,1329.000,0.000,0.000,1329,1329.000
1497,0,0.000,1497.000,0.000,0.000,1497,1497.000
1717,0,0.000,1717.000,0.000,0.000,1717,1717.000
724,0,0.000,724.000,0.000,0.000,724,724.000
1262,0,0.000,1262.000,0.000,0.000,1262,1262.000
1520,0,0.000,1520.000,0.000,0.000,1520,1520.000
805,0,0.000,805.000,0.000,0.000,805,805.000
914,0,0.000,914.000,0.000,0.000,914,914.000
684,0,0.000,684.000,0.000,0.000,1290,1290.000
0,0,0,0.000,0.000,0,1485,1485.000
0,0,0,0.000,0.000,0,911,911.000
0,0,0,0.000,0.000,0,1547,1547.000
0,0,0,0.000,0.000,0,1344,1344.000
0,0,0,0.000,0.000,0,1182,1182.000
0,0,0,0.000,0.000,0,1780,1780.000
0,0,0,0.000,0.000,0,1613,1613.000
0,0,0,0.000,0.000,0,1756,1756.000
0,0,0,0.000,0.000,0,1048,1048.000
0,0,0,0.000,0.000,0,5873,5873.000
0,0,0,0.000,0.000,0,1676,1676.000
0,0,0,0.000,0.000,0,1082,1082.000
0,0,0,0.000,0.000,0,2016,2016.000
0,0,0,0.000,0.000,0,1615,1615.000
0,0,0,0.000,0.000,0,1101,1101.000
0,0,0,0.000,0.000,0,1103,1103.000
0,0,0,0.000,0.000,0,3804,3804.000
0,0,0,0.000,0.000,0,930,930.000
0,0,0,0.000,0.000,0,1421,1421.000
0,0,0,0.000,0.000,0,6149,6149.000
0,0,0,0.000,0.000,0,1419,1419.000
0,0,0,0.000,0.000,0,1244,1244.000
0,0,0,0.000,0.000,0,1564,1564.000
0,0,0,0.000,0.000,0,1524,1524.000
0,0,0,0.000,0.000,0,1555,1555.000
0,0,0,0.000,0.000,0,1411,1411.000
0,0,0,0.000,0.000,0,1356,1356.000
0,0,0,0.000,0.000,0,1788,1788.000
0,0,0,0.000,0.000,0,1622,1622.000
0,0,0,0.000,0.000,0,1808,1808.000
0,0,0,0.000,0.000,0,2063,2063.000
0,0,0,0.000,0.000,0,2612,2612.000
0,0,0,0.000,0.000,0,1673,1673.000
0,0,0,0.000,0.000,0,1972,1972.000
0,0,0,0.000,0.000,0,2079,2079.000
0,0,0,0.000,0.000,0,1841,1841.000
0,0,0,0.000,0.000,0,1361,1361.000
0,0,0,0.000,0.000,0,1947,1947.000
0,0,0,0.000,0.000,0,2201,2201.000
0,0,0,0.000,0.000,0,758,758.000
0,0,0,0.000,0.000,0,2535,2535.000
0,0,0,0.000,0.000,0,2200,2200.000
0,0,0,0.000,0.000,0,1841,1841.000
0,0,0,0.000,0.000,0,2011,2011.000
0,0,0,0.000,0.000,0,1870,1870.000
364,0,0.000,364.000,0.000,0.000,1918,1918.000
2065,0,0.000,2065.000,0.000,0.000,2065,2065.000
2766,0,0.000,2766.000,0.000,0.000,2766,2766.000
1741,0,0.000,1741.000,0.000,0.000,1741,1741.000
1602,0,0.000,1602.000,0.000,0.000,1602,1602.000
2067,0,0.000,2067.000,0.000,0.000,2067,2067.000
2453,0,0.000,2453.000,0.000,0.000,2453,2453.000
164,0,0.000,164.000,0.000,0.000,1661,1661.000
0,0,0,0.000,0.000,0,4363,4363.000
0,0,0,0.000,0.000,0,1306,1306.000
0,0,0,0.000,0.000,0,1036,1036.000
1408,0,0.000,1408.000,0.000,0.000,1836,1836.000
2316,0,0.000,2316.000,0.000,0.000,2316,2316.000
671,0,0.000,671.000,0.000,0.000,1450,1450.000
0,0,0,0.000,0.000,0,1540,1540.000
0,0,0,0.000,0.000,0,956,956.000
0,0,0,0.000,0.000,0,1157,1157.000
0,0,0,0.000,0.000,0,8365,8365.000
0,0,0,0.000,0.000,0,3129,3129.000
0,0,0,0.000,0.000,0,2973,2973.000
0,0,0,0.000,0.000,0,1961,1961.000
0,0,0,0.000,0.000,0,3769,3769.000
0,0,0,0.000,0.000,0,961,961.000
0,0,0,0.000,0.000,0,1685,1685.000
0,0,0,0.000,0.000,0,5233,5233.000
0,0,0,0.000,0.000,0,2670,2670.000
0,0,0,0.000,0.000,0,3901,3901.000
0,0,0,0.000,0.000,0,6300,6300.000
0,0,0,0.000,0.000,0,1380,1380.000
0,0,0,0.000,0.000,0,4416,4416.000
0,0,0,0.000,0.000,0,4702,4702.000
0,0,0,0.000,0.000,0,1104,1104.000
0,0,0,0.000,0.000,0,2115,2115.000
0,0,0,0.000,0.000,0,3723,3723.000
0,0,0,0.000,0.000,0,2647,2647.000
0,0,0,0.000,0.000,0,3897,3897.000
0,0,0,0.000,0.000,0,1742,1742.000
4032,0,0.000,4032.000,0.000,0.000,4078,4078.000
7731,0,0.000,7731.000,0.000,0.000,7731,7731.000
540,0,0.000,540.000,0.000,0.000,6790,6790.000
0,0,0,0.000,0.000,0,4635,4635.000
0,0,0,0.000,0.000,0,1990,1990.000
0,0,0,0.000,0.000,0,820,820.000
0,0,0,0.000,0.000,0,699,699.000
0,0,0,0.000,0.000,0,792,792.000
0,0,0,0.000,0.000,0,647,647.000
0,0,0,0.000,0.000,0,815,815.000
0,0,0,0.000,0.000,0,1173,1173.000
0,0,0,0.000,0.000,0,1104,1104.000
0,0,0,0.000,0.000,0,967,967.000
0,0,0,0.000,0.000,0,940,940.000
0,0,0,0.000,0.000,0,1114,1114.000
0,0,0,0.000,0.000,0,1050,1050.000
0,0,0,0.000,0.000,0,1118,1118.000
0,0,0,0.000,0.000,0,964,964.000
0,0,0,0.000,0.000,0,1095,1095.000
0,0,0,0.000,0.000,0,1124,1124.000
0,0,0,0.000,0.000,0,1070,1070.000
0,0,0,0.000,0.000,0,974,974.000
0,0,0,0.000,0.000,0,1241,1241.000
0,0,0,0.000,0.000,0,1120,1120.000
0,0,0,0.000,0.000,0,958,958.000
0,0,0,0.000,0.000,0,1044,1044.000
0,0,0,0.000,0.000,0,938,938.000
0,0,0,0.000,0.000,0,1311,1311.000
0,0,0,0.000,0.000,0,1119,1119.000
0,0,0,0.000,0.000,0,1238,1238.000
0,0,0,0.000,0.000,0,994,994.000
0,0,0,0.000,0.000,0,1222,1222.000
0,0,0,0.000,0.000,0,1095,1095.000
0,0,0,0.000,0.000,0,941,941.000
0,0,0,0.000,0.000,0,1012,1012.000
0,0,0,0.000,0.000,0,965,965.000
0,0,0,0.000,0.000,0,1105,1105.000
0,0,0,0.000,0.000,0,960,960.000
0,0,0,0.000,0.000,0,1300,1300.000
0,0,0,0.000,0.000,0,1172,1172.000
0,0,0,0.000,0.000,0,1072,1072.000
0,0,0,0.000,0.000,0,1051,1051.000
0,0,0,0.000,0.000,0,1169,1169.000
0,0,0,0.000,0.000,0,974,974.000
0,0,0,0.000,0.000,0,956,956.000
0,0,0,0.000,0.000,0,941,941.000
0,0,0,0.000,0.000,0,975,975.000
0,0,0,0.000,0.000,0,985,985.000
0,0,0,0.000,0.000,0,1025,1025.000
0,0,0,0.000,0.000,0,931,931.000
0,0,0,0.000,0.000,0,968,968.000
0,0,0,0.000,0.000,0,937,937.000
0,0,0,0.000,0.000,0,1238,1238.000
0,0,0,0.000,0.000,0,1393,1393.000
0,0,0,0.000,0.000,0,1019,1019.000
0,0,0,0.000,0.000,0,1095,1095.000
0,0,0,0.000,0.000,0,1264,1264.000
0,0,0,0.000,0.000,0,993,993.000
0,0,0,0.000,0.000,0,1051,1051.000
0,0,0,0.000,0.000,0,1088,1088.000
0,0,0,0.000,0.000,0,1043,1043.000
0,0,0,0.000,0.000,0,980,980.000
0,0,0,0.000,0.000,0,1041,1041.000
0,0,0,0.000,0.000,0,1072,1072.000
0,0,0,0.000,0.000,0,977,977.000
0,0,0,0.000,0.000,0,1187,1187.000
0,0,0,0.000,0.000,0,1062,1062.000
0,0,0,0.000,0.000,0,1050,1050.000
0,0,0,0.000,0.000,0,1291,1291.000
0,0,0,0.000,0.000,0,933,933.000
0,0,0,0.000,0.000,0,1040,1040.000
0,0,0,0.000,0.000,0,1119,1119.000
0,0,0,0.000,0.000,0,1905,1905.000
0,0,0,0.000,0.000,0,1080,1080.000
0,0,0,0.000,0.000,0,1123,1123.000
0,0,0,0.000,0.000,0,1010,1010.000
0,0,0,0.000,0.000,0,1056,1056.000
0,0,0,0.000,0.000,0,1028,1028.000
0,0,0,0.000,0.000,0,1085,1085.000
0,0,0,0.000,0.000,0,1060,1060.000
0,0,0,0.000,0.000,0,1058,1058.000
0,0,0,0.000,0.000,0,861,861.000
0,0,0,0.000,0.000,0,929,929.000
0,0,0,0.000,0.000,0,1008,1008.000
0,0,0,0.000,0.000,0,1013,1013.000
0,0,0,0.000,0.000,0,1010,1010.000
0,0,0,0.000,0.000,0,1145,1145.000
0,0,0,0.000,0.000,0,1074,1074.000
0,0,0,0.000,0.000,0,1365,1365.000
0,0,0,0.000,0.000,0,1064,1064.000
0,0,0,0.000,0.000,0,1381,1381.000
0,0,0,0.000,0.000,0,1350,1350.000
0,0,0,0.000,0.000,0,57,57.000
0,0,0,0.000,0.000,0,1019,1019.000
0,0,0,0.000,0.000,0,1498,1498.000
0,0,0,0.000,0.000,0,1104,1104.000
0,0,0,0.000,0.000,0,1293,1293.000
0,0,0,0.000,0.000,0,1395,1395.000
0,0,0,0.000,0.000,0,1030,1030.000
0,0,0,0.000,0.000,0,1187,1187.000
0,0,0,0.000,0.000,0,1173,1173.000
0,0,0,0.000,0.000,0,983,983.000
